               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 118,              2.2702,              1.3847,              1.5306,             0.88593,             0.85456,             0.91431,             0.46883,                   0,                   0,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,              2.2973,              1.4196,              1.5462,             0.89292,             0.85169,             0.91466,             0.47603,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                 120,              2.2868,              1.4111,              1.5488,             0.88868,              0.8547,             0.91572,             0.47423,                   0,                   0,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,              2.2788,              1.3808,              1.5359,             0.89268,             0.85259,             0.91626,             0.47535,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                 122,              2.2776,               1.393,              1.5292,             0.89392,             0.85245,             0.91767,             0.47782,                   0,                   0,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,              2.2837,              1.3815,              1.5225,             0.88892,             0.85447,             0.91539,             0.47774,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                 124,              2.2922,               1.398,              1.5402,             0.88993,             0.85222,             0.91447,              0.4773,                   0,                   0,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,              2.2709,              1.3868,              1.5246,             0.88167,             0.84962,             0.90987,              0.4723,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                 126,              2.2827,              1.3949,              1.5377,             0.88757,             0.85362,              0.9133,             0.47043,                   0,                   0,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,              2.2868,              1.4016,              1.5267,             0.88794,             0.85491,             0.91252,             0.46647,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                 128,              2.2745,              1.3828,               1.533,             0.88893,             0.85517,             0.91339,             0.46821,                   0,                   0,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,              2.2812,              1.3979,              1.5294,             0.88763,             0.85694,             0.91463,              0.4688,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                 130,              2.2688,              1.3888,              1.5283,             0.88819,             0.85984,             0.91675,             0.47343,                   0,                   0,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,              2.2671,              1.3761,              1.5247,             0.88756,             0.85607,             0.91365,             0.47324,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                 132,              2.2661,              1.3865,              1.5164,             0.88728,             0.85524,             0.91398,             0.47312,                   0,                   0,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,              2.2784,              1.3834,              1.5271,             0.88384,             0.85916,             0.91345,             0.47562,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                 134,               2.275,                1.38,              1.5267,             0.88721,             0.85806,             0.91485,              0.4742,                   0,                   0,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,              2.2754,               1.377,              1.5223,             0.88586,             0.85814,             0.91441,             0.47376,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
